scalar,RGB_r,RGB_g,RGB_b
0.9333333333333333,233,232,95
0.9372549019607843,233,234,99
0.9411764705882353,233,235,103
0.9450980392156862,232,237,107
0.9490196078431372,232,239,111
0.9529411764705882,232,240,115
0.9568627450980391,233,242,119
0.9607843137254902,233,243,124
0.9647058823529412,234,245,128
0.9686274509803922,234,246,132
0.9725490196078431,235,248,136
0.9764705882352941,236,249,140
0.9803921568627451,237,250,144
0.984313725490196,238,251,148
0.9882352941176471,240,252,152
0.9921568627450981,241,254,156
0.996078431372549,243,255,160
1.0,245,255,163
